ID_university,Name_university,Phone,Num_Major,
10001,Universitas Mulawarman,885-415-9991,99,
10002,Truman College,923-631-8871,66,
10003,Universidade Federal do Rio Grande do Norte,895-350-0593,87,
10004,Centro Universitário Newton Paiva,745-791-5085,73,
10005,University of St. Michael's College,666-790-5214,58,
10006,Pontificia Universidad Católica Madre y Maestra (PUCMM),824-988-9100,99,
10007,University of Trieste,183-262-7761,8,
10008,Kitasato University,213-160-2937,29,
10009,College of Technology at Dammam,836-482-1199,31,
10010,Sylhet International University,964-523-3266,81,
10011,Langston University,857-888-7522,29,
10012,Belarussian State University of Informatics and Radioelectronics,998-767-2238,80,
10013,Simpson College,645-622-7143,59,
10014,Future University,963-594-7534,59,
10015,Saratov State Agrarian University,166-759-8363,74,
10016,Kyoto Bunkyo University,893-499-7957,71,
10017,Universidad Regional del Sureste,975-496-2137,24,
10018,Huanghe Science & Technology University,832-567-4298,39,
10019,Dr. YS Parmar University of Horticulture and Forestry,693-420-4845,85,
10020,Canakkale (18th March) University,928-370-3132,23,
10021,Universitas Jenderal Achmad Yani,982-430-8392,86,
10022,"Evangelische Fachhochschule Berlin, Fachhochschule für Sozialarbeit und Sozialpädagogik",511-966-7388,78,
10023,Universidad de Tarapacá,495-214-2590,22,
10024,"University of California, Oakland",202-126-1019,11,
10025,Ecole Centrale de Lyon,756-232-4119,24,
10026,Gubkin Russian State University of Oil and Gas,696-294-0433,68,
10027,Oradea University,236-241-2205,85,
10028,Ecole Supérieure de Commerce de Rouen,956-791-0883,13,
10029,Ho Chi Minh City University of Foreign Languages and Information Technology,601-113-9216,25,
10030,Charles R. Drew University of Medicine and Science,588-681-5138,84,
10031,Technion - Israel Institute of Technology,402-398-0928,80,
10032,Chiang Mai University,839-872-7730,38,
10033,University of Leeds,234-642-2669,31,
10034,Eastern College,249-837-4105,65,
10035,Yemenia University,258-966-8892,89,
10036,Pace University  Pleasantville/Briarcliff,218-261-0262,5,
10037,Belarussian State Agricultural Academy,873-693-2304,29,
10038,University of Notre Dame,305-216-0226,77,
10039,Beth-El College of Nursing and Health Sciences,805-777-9446,20,
10040,Netaji Subhas Inst of Technology,734-814-8137,53,
10041,University of Dundee,157-702-6881,53,
10042,National College of Art and Design,670-576-0493,53,
10043,Fiji School of Medicine,258-813-1282,11,
10044,Universitas Merdeka Madiun,643-559-0905,18,
10045,University of Hawaii - West Oahu,464-673-9764,97,
10046,Université de Cergy-Pontoise,434-556-7514,79,
10047,Kenyon College,888-226-2892,36,
10048,Universitas Jambi,212-197-8310,35,
10049,Fachhochschule St. Pölten,645-333-5689,61,
10050,Pontifcia Universitas a S.Thomas Aquinate in Urbe,989-722-4919,56,
10051,Mount Mercy College,679-644-6840,65,
10052,Universitas Muria Kudus,256-284-7223,24,
10053,Université Catholique de Lyon,216-483-9539,65,
10054,"Yorker International University, Milano",956-652-9541,22,
10055,Universidade Católica de Angola,894-616-7284,49,
10056,Jishou University,955-109-9495,13,
10057,Emory & Henry College,473-625-7998,58,
10058,Pyongyang University of Science and Technology,914-524-0994,93,
10059,Universidad Pedagógica Veracruzana,443-377-8235,67,
10060,Ohio State University - Mansfield,965-224-1813,67,
10061,Zabol University,502-258-8604,40,
10062,Université Victor Segalen (Bordeaux II),647-224-1546,79,
10063,Linköping University,122-856-7223,7,
10064,McPherson College,758-520-8653,39,
10065,University Konstantina Filozov in Nitra,902-680-6556,22,
10066,"Universidad Nacional Experimental Politécnica ""Antonio José de Sucre""",468-396-5984,88,
10067,Tohoku Bunka Gakuen University,668-145-9433,51,
10068,Osmangazi University,508-484-2353,9,
10069,Excelsior College,745-322-6973,97,
10070,Cranfield University,460-115-0006,21,
10071,Mount Saint Vincent University,699-880-3787,42,
10072,Pharos International University,508-409-9720,80,
10073,Fundacion Escuela Colombiana de Rehabiliación,603-636-5075,78,
10074,Alvernia College,398-138-3056,97,
10075,Universidad Galileo,218-560-1638,66,
10076,American Film Institute Center for Advanced Film and Television Studies,521-587-3268,85,
10077,Fachhochschule Heilbronn, Hochschule für Technik und Wirtschaft,967-316-7765,86
10078,Bard College,894-769-4080,35,
10079,University of Science & Technology Bannu,985-928-3675,11,
10080,Hebei University,200-707-5034,87,
10081,Université du Burundi,170-554-2857,30,
10082,Philosophisch-Theologische Hochschule Sankt Georgen,303-281-9500,78,
10083,Université de Marne la Vallée,296-991-8030,80,
10084,Dhaka International University,438-689-8517,14,
10085,University of Maine, Farmington,846-951-1708,8
10086,St. Anselm College,759-287-9858,94,
10087,Federal University of Technology, Minna,329-454-4201,22
10088,University of lloilo,378-225-8091,19,
10089,Wuyi University,918-889-0980,82,
10090,Vietnam Maritime University,799-548-9551,5,
10091,Fachhochschule Eberswalde,475-274-0012,18,
10092,DePauw University,814-241-0121,18,
